ID,POINT_X,POINT_Y,NBR_ACC,ACC_2022,ACC_2023,FATAL_ACC,SEVERE_ACC,SEV3_ACC,SEV4_ACC,NBR_INJ,NBR_KILLED
89,-118.318041,34.09074402,1,1,1,0,1,0,0,1,0
355,-118.2750769,33.93828964,1,1,1,0,0,0,0,0,0
737,-118.2826921,33.98907852,1,1,1,0,0,0,0,0,0
725,-118.2826434,33.94560242,1,1,1,0,0,0,0,0,0
15,-118.6464722,34.21182632,1,1,1,0,1,0,0,2,0
200,-118.5711243,34.1938057,1,1,1,0,0,1,1,1,0
582,-118.4052122,34.14269638,3,2,2,0,2,1,1,6,0
989,-118.4052122,34.14269638,3,2,2,0,2,1,1,6,0
627,-118.3786903,33.97018433,1,1,1,0,0,0,0,1,0
959,-118.3786903,33.97018433,1,1,1,0,0,0,0,1,0
661,-118.3960222,34.25870514,1,1,1,0,1,0,0,1,0
782,-118.2578092,34.00080109,1,1,1,0,0,0,0,1,0
349,-118.3670722,34.18750763,1,1,1,0,0,0,0,0,0
71,-118.3670722,34.18750763,1,1,1,0,0,0,0,0,0
487,-118.6059431,34.16841126,1,1,1,0,0,1,1,1,0
439,-118.2657621,33.79101563,2,1,1,0,0,1,1,2,0
719,-118.2657198,34.12509155,1,1,1,0,0,0,0,0,0
776,-118.2355399,34.04862595,1,1,1,0,0,0,0,0,0
295,-118.2516521,34.1205864,1,1,1,0,0,0,0,0,0
862,-118.2762478,34.05070496,1,1,1,0,0,0,0,0,0
362,-118.2466022,34.01608658,1,1,1,0,0,1,1,1,0
934,-118.2784997,33.98916626,1,1,1,0,0,0,0,2,0
586,-118.1876122,34.08584595,1,1,1,0,1,0,0,1,0
785,-118.5338422,34.24093628,1,1,1,0,0,0,0,0,0
7,-118.278094,34.10284424,1,1,1,0,0,0,0,0,0
688,-118.4211153,34.26515961,1,1,1,0,0,0,0,0,0
122,-118.4225532,34.18650055,1,1,1,0,0,0,0,0,0
973,-118.5272875,34.1685524,1,1,1,0,0,0,0,0,0
283,-118.4945903,34.20842362,1,1,1,0,0,0,0,0,0
337,-118.588968,34.16643524,1,1,1,0,0,0,0,1,0
676,-118.3965522,34.2157135,1,1,1,0,0,1,1,1,0
750,-118.2622421,33.77707672,1,1,1,0,0,1,1,1,0
826,-118.5361022,34.24455643,1,1,1,0,0,1,1,2,0
36,-118.5185522,34.17223358,1,1,1,0,0,0,0,3,0
15,-118.6560922,34.18277359,1,1,1,0,0,0,0,3,0
317,-118.2783521,34.00925446,1,1,1,0,0,0,0,0,0
802,-118.2439121,34.03869629,1,1,1,0,0,0,0,0,0
450,-118.2559922,34.02986527,2,2,2,0,0,0,0,1,0
81,-118.2734318,33.93100357,1,1,1,0,0,0,0,2,0
818,-118.2382221,34.09035492,1,1,1,0,0,0,0,0,0
255,-118.2674022,33.99245453,1,1,1,0,0,0,0,1,0
400,-118.4455324,34.2331543,1,1,1,0,0,0,0,0,0
946,-118.2782749,33.96427918,1,1,1,0,0,1,1,1,0
76,-118.2586066,34.07478714,1,1,1,0,0,0,0,0,0
753,-118.4661322,34.1794281,1,1,1,0,0,0,0,0,0
34,-118.4661322,34.1794281,1,1,1,0,0,0,0,0,0
711,-118.5884522,34.19206619,1,1,1,0,0,0,0,0,0
58,-118.5884522,34.19206619,1,1,1,0,0,0,0,0,0
468,-118.4041749,34.2012794,1,1,1,0,1,0,0,1,0
41,-118.2736121,34.05688477,1,1,1,0,0,1,1,2,0
811,-118.2686308,34.01115418,1,1,1,0,0,0,0,0,0
128,-118.2686308,34.01115418,1,1,1,0,0,0,0,0,0
330,-118.2576147,33.96746445,1,1,1,0,0,1,1,1,0
229,-118.2576147,33.96746445,1,1,1,0,0,1,1,1,0
427,-118.2830214,33.98914337,1,1,1,0,0,1,1,1,0
333,-118.2830214,33.98914337,1,1,1,0,0,1,1,1,0
174,-118.2900296,33.97266388,1,1,1,0,0,0,0,1,0
531,-118.3135621,34.08843613,1,1,1,0,0,0,0,0,0
913,-118.3387249,34.09797669,1,1,1,0,0,0,0,0,0
580,-118.2657621,33.79101563,2,1,1,0,0,1,1,2,0
605,-118.6560922,34.18277359,1,1,1,0,0,0,0,3,0
967,-118.2494206,33.92946625,1,1,1,0,0,0,0,0,0
1,-118.2916921,34.0723877,1,1,1,1,0,0,0,0,1
464,-118.3181763,34.03062439,1,1,1,0,0,0,0,0,0
742,-118.3236521,33.98905563,1,1,1,0,0,1,1,1,0
747,-118.3964971,34.15483299,2,2,2,0,0,0,0,3,0
937,-118.4457825,34.03157806,1,1,1,0,0,1,1,1,0
26,-118.4231834,34.09947586,1,1,1,0,0,0,0,0,0
792,-118.404355,34.12138748,1,1,1,0,0,0,0,0,0
496,-118.436894,34.03609085,1,1,1,0,0,0,0,0,0
3,-118.340162,34.1202507,1,1,1,0,0,0,0,1,0
